datum,datum_iso,popis
23.3.2023,2023-03-23,"3. konference Prázdných domů s podtitulem Prázdné domy na bojišti, zaměřená na vojenské objekty"
31.12.2022,2022-12-31,3700 fanoušků na našem instagramovém účtu
31.12.2022,2022-12-31,7200 fanoušků na skupině Prázdnédomy.cz - Debatní studna
31.12.2022,2022-12-31,40000 fanoušků na hlavní facebookové stránce
19.9.2022,2022-09-19,darovali jsme VIP vycházku do dobročinné dražby pořádané spolkem Dobré víly dětem
14.9.2022,2022-09-14,bohoslužba a grilování u kaple Panny Marie Bolestné
08.9.2022,2022-09-08,zahájení prodeje limitované edice prvního kalendáře Prázdných domů a Tomski&Polanski
17.5.2022,2022-05-17,brigáda u kaple Panny Marie Bolestné
23.04.2022,2022-04-23,"4. výlet Prázdných domů, tentokrát za vojenskou historií do Terezína a okolí"
07.04.2022,2022-04-07,opravena lucerna na hrobě Oldřicha Tyla
30.12.2021,2021-12-30,"setkání u kapličky a ""novoroční"" přípitek"
23.12.2021,2021-12-23,opravena střecha kaple pod Barrandovem
22.10.2021,2021-10-22,"konference Prázdné domy na vedlejší koleji, aneb prázdná nádraží jako příležitost"
20.06.2021,2021-06-20,byli jsme zařazeni do soutěže financování památek Máme vyhráno
13.06.2021,2021-06-13,kauza ohledně možné demolice unikátní Benešovy vily hýbe Prahou a to i díky našemu Petrovi Zemanovi
28.05.2021,2021-05-28,brigáda u kaple Panny Marie Bolestné pod Barrandovem
27.05.2021,2021-05-27,zastupitelstvo HMP schválilo přidělení dotace na opravu kaple 130 000 Kč
08.04.2021,2021-04-08,7000 objektů v databázi
01.04.2021,2021-04-01,první on-line vycházka
28.02.2021,2021-02-28,37000 fanoušků na hlavní facebookové stránce
09.01.2021,2021-01-09,36000 fanoušků na hlavní facebookové stránce
03.01.2021,2021-01-03,35000 fanoušků na hlavní facebookové stránce
03.01.2021,2021-01-03,"rekordní příspěvek, 210 tis. shlédnutí, 542 sdílení, 2400 reakcí"
28.12.2020,2020-12-28,vánoční setkání spolku u kapličky Panny Marie Bolestné
30.10.2020,2020-10-30,podaná žádost na MHMP o grant na kapli Panny Marie Bolestné
