name,url,latitude,longitude,timeline_events,has_description,articles_count
Mottlův dům čp.761,https://databaze.prazdnedomy.cz/domy/objekty/detail/80-mottluv-dum-cp-761,50.083139,14.422194,14,no,2
Palác Rosetta,https://databaze.prazdnedomy.cz/domy/objekty/detail/81-palac-rosetta,50.081278,14.42225,6,no,4
Desfourský palác,https://databaze.prazdnedomy.cz/domy/objekty/detail/82-desfoursky-palac,50.088917,14.436583,29,yes,4
Residence FENIX,https://databaze.prazdnedomy.cz/domy/objekty/detail/83-residence-fenix,50.091917,14.435917,13,yes,1
Sociální ústav pro okresní nemocenskou pokladnu,https://databaze.prazdnedomy.cz/domy/objekty/detail/84-socialni-ustav-pro-okresni-nemocenskou-pokladnu,50.092667,14.430306,6,yes,4
BD Rybná 1066,https://databaze.prazdnedomy.cz/domy/objekty/detail/85-bd-rybna-1066,50.089306,14.425917,2,yes,0
Dům uměleckého průmyslu čp. 38,https://databaze.prazdnedomy.cz/domy/objekty/detail/86-dum-umeleckeho-prumyslu-cp-38,50.082556,14.421028,7,yes,0
BD Vladislavova 52,https://databaze.prazdnedomy.cz/domy/objekty/detail/87-bd-vladislavova-52,50.081,14.421028,5,yes,0
BD Palackého 721,https://databaze.prazdnedomy.cz/domy/objekty/detail/88-bd-palackeho-721,50.081222,14.422889,7,yes,0
Palác Alfa (U Stýblů) čp. 785,https://databaze.prazdnedomy.cz/domy/objekty/detail/89-palac-alfa-u-styblu-cp-785,50.082583,14.425333,11,yes,2
BD Václavské náměstí čp. 821,https://databaze.prazdnedomy.cz/domy/objekty/detail/90-bd-vaclavske-namesti-cp-821,50.081722,14.428,5,yes,2
Dům U tří andělů,https://databaze.prazdnedomy.cz/domy/objekty/detail/91-dum-u-tri-andelu,50.088444,14.395361,10,no,6
Cukrovarnický palác,https://databaze.prazdnedomy.cz/domy/objekty/detail/92-cukrovarnicky-palac,50.085583,14.430583,15,no,10
Harrachovský palác,https://databaze.prazdnedomy.cz/domy/objekty/detail/94-harrachovsky-palac,50.084056,14.428917,6,yes,2
"Měšťanský dům U Kundraticů, U sv. Michala, Švábovský",https://databaze.prazdnedomy.cz/domy/objekty/detail/95-mestansky-dum-u-kundraticu-u-sv-michala-svabovsky,50.087778,14.389417,10,no,5
Dům U Tří bílých lilií,https://databaze.prazdnedomy.cz/domy/objekty/detail/96-dum-u-tri-bilych-lilii,50.087722,14.398972,18,yes,0
Palác Hrobčických čp.401,https://databaze.prazdnedomy.cz/domy/objekty/detail/97-palac-hrobcickych-cp-401,50.085278,14.423167,11,no,6
Dům U Zlaté lopaty,https://databaze.prazdnedomy.cz/domy/objekty/detail/98-dum-u-zlate-lopaty,50.08475,14.422611,5,yes,3
Kulturní dům Eden,https://databaze.prazdnedomy.cz/domy/objekty/detail/99-kulturni-dum-eden,50.068056,14.467111,15,no,14
OD Puchmajerova,https://databaze.prazdnedomy.cz/domy/objekty/detail/100-od-puchmajerova,49.834722,18.290639,2,yes,0
Hotel Vaníček,https://databaze.prazdnedomy.cz/domy/objekty/detail/101-hotel-vanicek,50.077278,14.392333,3,yes,3
BD Francouzská 215,https://databaze.prazdnedomy.cz/domy/objekty/detail/102-bd-francouzska-215,50.071833,14.449028,1,yes,0
Škola Drtinova,https://databaze.prazdnedomy.cz/domy/objekty/detail/103-skola-drtinova,50.075806,14.400944,2,yes,0
BD U vršovického nádraží 30,https://databaze.prazdnedomy.cz/domy/objekty/detail/104-bd-u-vrsovickeho-nadrazi-30,50.068417,14.448861,4,yes,0
BD Kotlářská 266,https://databaze.prazdnedomy.cz/domy/objekty/detail/106-bd-kotlarska-266,49.205083,16.595694,4,yes,2
Nákupní centrum Letná,https://databaze.prazdnedomy.cz/domy/objekty/detail/107-nakupni-centrum-letna,49.217722,16.524694,4,yes,3
"BD Jaroslava Seiferta 20/22/24, Most",https://databaze.prazdnedomy.cz/domy/objekty/detail/108-bd-jaroslava-seiferta-20-22-24-most,50.511639,13.639222,1,yes,0
Hotel Přehrada,https://databaze.prazdnedomy.cz/domy/objekty/detail/109-hotel-prehrada,49.23725,16.51775,4,yes,2
BD Jugoslávská 675,https://databaze.prazdnedomy.cz/domy/objekty/detail/110-bd-jugoslavska-675,50.075611,14.430889,3,yes,0
Nová strašnická škola,https://databaze.prazdnedomy.cz/domy/objekty/detail/111-nova-strasnicka-skola,50.072889,14.492361,14,no,11
Mottlův dům čp.761,https://databaze.prazdnedomy.cz/domy/objekty/detail/80-mottluv-dum-cp-761,50.083139,14.422194,14,no,2
Palác Rosetta,https://databaze.prazdnedomy.cz/domy/objekty/detail/81-palac-rosetta,50.081278,14.42225,6,no,4
Desfourský palác,https://databaze.prazdnedomy.cz/domy/objekty/detail/82-desfoursky-palac,50.088917,14.436583,29,yes,4
Residence FENIX,https://databaze.prazdnedomy.cz/domy/objekty/detail/83-residence-fenix,50.091917,14.435917,13,yes,1
Sociální ústav pro okresní nemocenskou pokladnu,https://databaze.prazdnedomy.cz/domy/objekty/detail/84-socialni-ustav-pro-okresni-nemocenskou-pokladnu,50.092667,14.430306,6,yes,4
BD Rybná 1066,https://databaze.prazdnedomy.cz/domy/objekty/detail/85-bd-rybna-1066,50.089306,14.425917,2,yes,0
Dům uměleckého průmyslu čp. 38,https://databaze.prazdnedomy.cz/domy/objekty/detail/86-dum-umeleckeho-prumyslu-cp-38,50.082556,14.421028,7,yes,0
BD Vladislavova 52,https://databaze.prazdnedomy.cz/domy/objekty/detail/87-bd-vladislavova-52,50.081,14.421028,5,yes,0
BD Palackého 721,https://databaze.prazdnedomy.cz/domy/objekty/detail/88-bd-palackeho-721,50.081222,14.422889,7,yes,0
Palác Alfa (U Stýblů) čp. 785,https://databaze.prazdnedomy.cz/domy/objekty/detail/89-palac-alfa-u-styblu-cp-785,50.082583,14.425333,11,yes,2
BD Václavské náměstí čp. 821,https://databaze.prazdnedomy.cz/domy/objekty/detail/90-bd-vaclavske-namesti-cp-821,50.081722,14.428,5,yes,2
Dům U tří andělů,https://databaze.prazdnedomy.cz/domy/objekty/detail/91-dum-u-tri-andelu,50.088444,14.395361,10,no,6
Cukrovarnický palác,https://databaze.prazdnedomy.cz/domy/objekty/detail/92-cukrovarnicky-palac,50.085583,14.430583,15,no,10
Harrachovský palác,https://databaze.prazdnedomy.cz/domy/objekty/detail/94-harrachovsky-palac,50.084056,14.428917,6,yes,2
"Měšťanský dům U Kundraticů, U sv. Michala, Švábovský",https://databaze.prazdnedomy.cz/domy/objekty/detail/95-mestansky-dum-u-kundraticu-u-sv-michala-svabovsky,50.087778,14.389417,10,no,5
Dům U Tří bílých lilií,https://databaze.prazdnedomy.cz/domy/objekty/detail/96-dum-u-tri-bilych-lilii,50.087722,14.398972,18,yes,0
Palác Hrobčických čp.401,https://databaze.prazdnedomy.cz/domy/objekty/detail/97-palac-hrobcickych-cp-401,50.085278,14.423167,11,no,6
Dům U Zlaté lopaty,https://databaze.prazdnedomy.cz/domy/objekty/detail/98-dum-u-zlate-lopaty,50.08475,14.422611,5,yes,3
Kulturní dům Eden,https://databaze.prazdnedomy.cz/domy/objekty/detail/99-kulturni-dum-eden,50.068056,14.467111,15,no,14
OD Puchmajerova,https://databaze.prazdnedomy.cz/domy/objekty/detail/100-od-puchmajerova,49.834722,18.290639,2,yes,0
